prefecture,abv_avg,acidity_avg,gravity_avg,lat,lon,elevation,dist_from_coast_km,abv_med,acidity_med,gravity_med,polish_rate_med,grade_med
Aichi,15.8125,1.4,2.15,35.11036785,136.93741675,9.5,11.56381820137671,15.5,1.4,2.0,60.0,Junmai Daiginjō-shu
Akita,15.833333333333334,1.48,1.7361111111111112,39.4531607,140.4266983,45.0,37.56130991395968,15.5,1.5,2.0,57.0,Junmai Daiginjō-shu
Aomori,15.7375,1.4333333333333331,1.7201754385964914,40.6088125,140.482228,27.0,21.25298602105038,15.5,1.4,2.0,60.0,Junmai Daiginjō-shu
Chiba,14.875,1.45,1.5625,35.7952697,139.9187509,32.0,12.823948521498176,15.0,1.4,1.0,,Junmai Ginjō-shu
Ehime,16.0,1.4135135135135135,2.3345114345114344,33.8105404,132.7895139,42.5,5.808793887613082,15.5,1.4,3.5,60.0,Junmai Daiginjō-shu
Fukui,15.8828125,1.469318181818182,2.2666666666666666,35.32557735,137.16025815,36.0,27.28673907021842,15.5,1.4,3.0,60.0,Junmai Daiginjō-shu
Fukuoka,15.45,1.5084134615384617,2.7,33.3957143,130.511517,16.0,14.141515348929351,15.45,1.5,3.0,59.5,Junmai Daiginjō-shu
Fukushima,15.841666666666669,1.4049999999999998,1.6384615384615384,37.49873375,139.96235615,229.5,66.84894146634866,15.5,1.4,2.0,60.0,Junmai Daiginjō-shu
Gifu,16.125396825396827,1.5,2.048611111111111,35.487892900000006,137.0797607,112.5,46.34409905728355,15.7,1.5,3.0,60.0,Junmai Daiginjō-shu
Gunma,16.166666666666668,1.4305555555555556,2.833333333333333,36.30241965,139.28908615,71.0,84.62073273881752,15.5,1.4,3.0,52.5,Junmai Daiginjō-shu
Hiroshima,15.9,1.4786713286713289,2.630952380952381,34.4011471,132.7462796,24.0,5.462850628756377,15.5,1.5,3.0,60.0,Junmai Daiginjō-shu
Hokkaido,15.5,1.3680995475113122,3.21875,43.2672046,141.82551685,24.5,18.867661471550043,15.5,1.3,3.0,60.0,Junmai Daiginjō-shu
Hyōgo,16.026315789473685,1.477777777777778,2.025,34.75037475,135.0706245,13.0,4.453330943925083,15.5,1.4,2.5,60.0,Junmai Daiginjō-shu
Ibaraki,15.732142857142858,1.4,2.814015151515151,36.3040877,140.2874312,28.5,30.686127750078917,15.5,1.4,3.0,55.0,Junmai Daiginjō-shu
Ishikawa,15.8828125,1.469318181818182,2.2666666666666666,35.32557735,137.16025815,36.0,27.28673907021842,15.5,1.4,3.0,60.0,Junmai Daiginjō-shu
Iwate,15.636904761904765,1.5886363636363634,2.208333333333333,39.5700983,141.16402765,107.0,45.66391531185944,15.5,1.5,2.0,55.0,Junmai Daiginjō-shu
Kagawa,15.46,1.4666666666666668,1.325,34.23393485,133.92590415,50.5,9.60580695163068,15.5,1.5,1.0,60.0,Junmai Daiginjō-shu
Kagoshima,15.0,1.7000000000000002,0.5,31.691715,130.293565,4.0,1.029594496863771,15.0,1.7000000000000002,0.5,65.0,Junmai Ginjō-shu
Kanagawa,15.8497150997151,1.42,2.833333333333333,36.3635094,139.9626323,45.5,59.3694755505198,15.5,1.4,3.0,55.0,Junmai Daiginjō-shu
Kumamoto,15.648148148148149,1.461904761904762,1.675297619047619,32.90007065,130.75072295,63.0,24.92776078084715,15.0,1.4,3.5,60.0,Junmai Daiginjō-shu
Kyoto,15.714285714285714,1.5333333333333334,1.5924242424242423,35.0090012,135.747629,20.0,41.73118488943794,15.5,1.4,2.0,60.0,Junmai Daiginjō-shu
Kōchi,15.8,1.565909090909091,4.345135467980295,33.4994018,133.5425826,11.0,2.7877463123328985,15.5,1.5,5.0,60.0,Junmai Daiginjō-shu
Mie,15.795454545454549,1.556313131313131,1.7666666666666666,34.7812279,136.5408998,37.0,11.367932380177422,15.5,1.5,2.0,60.0,Junmai Daiginjō-shu
Miyagi,15.666666666666666,1.505,1.2857142857142858,38.46476374999999,140.9110484,30.5,19.77429359658037,15.5,1.4,2.0,55.0,Junmai Daiginjō-shu
Miyazaki,16.404347826086955,1.3,1.6,32.24188965,131.55961105,5.0,2.0467550991765813,15.5,1.35,2.0,60.0,Junmai Daiginjō-shu
Nagano,15.96987951807229,1.5646341463414637,1.5,36.6578451,138.35661,383.5,49.192197653400015,15.0,1.5,1.0,59.0,Junmai Daiginjō-shu
Nagasaki,15.625,1.4495454545454547,1.0441176470588234,33.0899818,129.8963567,13.0,1.669261198384054,15.5,1.4,1.5,58.0,Junmai Daiginjō-shu
Nara,15.881782945736436,1.6792682926829268,2.055555555555556,34.5280692,135.8207438,127.0,42.54429282180782,15.5,1.5,3.0,60.0,Junmai Daiginjō-shu
Niigata,15.407459207459208,1.3666666666666665,3.878787878787879,37.4460483,138.85450585,23.0,18.16327538708596,15.0,1.35,3.0,60.0,Junmai Daiginjō-shu
Okayama,15.943961352657006,1.6,2.222826086956521,34.739736,133.7460263,29.0,14.575403681906238,15.5,1.5,3.0,60.0,Junmai Daiginjō-shu
Okinawa,15.333333333333334,1.4333333333333331,3.7,26.369152,127.8518527,32.0,2.1985036387732206,15.5,1.4,4.0,62.5,Junmai Ginjō-shu
Osaka,16.166666666666664,1.3253968253968254,1.6833333333333331,34.6784605,135.5811395,29.0,18.70226885339961,16.0,1.3,2.75,60.0,Junmai Daiginjō-shu
Saga,15.93731343283582,1.55,1.4464285714285714,33.22185935,130.10185975,12.0,6.16174653174321,16.0,1.5,1.875,57.0,Junmai Daiginjō-shu
Saitama,15.8497150997151,1.42,2.833333333333333,36.3635094,139.9626323,45.5,59.3694755505198,15.5,1.4,3.0,55.0,Junmai Daiginjō-shu
Shiga,16.322580645161292,1.6310344827586205,3.642857142857143,35.097105850000005,136.16833954999998,118.5,42.60858431719252,16.0,1.7,3.0,60.0,Junmai Daiginjō-shu
Shimane,16.056490384615387,1.5205128205128204,2.8990384615384617,35.227763,132.8209487,20.0,8.150944685226376,15.5,1.5,4.5,60.0,Junmai Daiginjō-shu
Shizuoka,15.714285714285714,1.4272727272727272,4.012195121951219,34.9557768,138.3673637,25.0,6.24587705364314,15.5,1.4,4.0,60.0,Junmai Daiginjō-shu
Tochigi,15.884615384615383,1.460798548094374,2.583333333333333,36.5982974,139.90929395,124.5,68.92365118660044,15.5,1.4,3.0,59.0,Junmai Daiginjō-shu
Tokushima,16.071428571428573,1.4449999999999998,4.75,34.059841899999995,134.51373565,16.0,8.880365854865696,15.5,1.4,5.0,60.0,Junmai Daiginjō-shu
Tokyo,14.703703703703704,1.3538461538461537,3.037037037037037,35.67154379999999,139.7605448,21.0,1.8884809866739127,15.0,1.4,2.0,55.0,Junmai Daiginjō-shu
Tottori,16.37777777777778,1.8222222222222224,4.475,35.457106,133.8227408,18.0,5.478418916218587,15.7,1.6,5.0,55.0,Junmai Daiginjō-shu
Toyama,15.8828125,1.469318181818182,2.2666666666666666,35.32557735,137.16025815,36.0,27.28673907021842,15.5,1.4,3.0,60.0,Junmai Daiginjō-shu
Wakayama,16.16771978021978,1.5697628458498023,2.673076923076924,34.2263118,135.2880442,19.0,4.804642531477006,16.0,1.5,2.75,58.0,Junmai Daiginjō-shu
Yamagata,15.7,1.4,2.875,38.5870949,139.97919535,68.0,39.96855660578007,15.5,1.3,2.0,55.0,Junmai Daiginjō-shu
Yamaguchi,16.12987012987013,1.5583333333333331,2.625,34.1622144,131.5724586,16.0,4.746654347856457,15.5,1.55,3.0,60.0,Junmai Daiginjō-shu
Yamanashi,15.8828125,1.469318181818182,2.2666666666666666,35.32557735,137.16025815,36.0,27.28673907021842,15.5,1.4,3.0,60.0,Junmai Daiginjō-shu
Ōita,15.546875,1.4108695652173917,-1.1666666666666667,33.3288702,131.4342685,77.0,11.83541654417445,15.0,1.35,2.0,60.0,Junmai Daiginjō-shu
